Nome,Indirizzo,Latitudine,Longitudine
FIT MI - Fitness Club - Palestra Regione,Palazzo Lombardia - Via Luigi Galvani,45.487479,9.197039
Mengiu Palestre Milano,Via Daniele Ranzoni,45.470508,9.145712
Milano Health Club,Via Gaetano Strambio,45.475203, 9.232573
Solaris Fitness,Via Andrea Solari,45.458469,9.163050
Palestre Italiane Milano Cassala,Viale Cassala,45.445945,9.163565
GetFIT,Via Giuseppe Meda,45.438811,9.178226
Virgin Active Collection Milano Corso Como,Corso Como,45.483075,9.186715
Virgin Active Collection Milano Cavour,Via del Vecchio Politecnico,45.47246,9.196344
FitActive Milano Via Pellegrino Rossi,Via Pellegrino Rossi,45.514817,9.173276
Anytime Fitness Milano Sarca,Viale Sarca,45.508311,9.204678
Virgin Active Milano Kennedy,Viale Alcide de Gasperi,45.496648,9.128877
Palestra Gold's Gym,Via Privata Benadir,45.498697,9.236642
Prime Exclusive Wellness Milano,Via S. Paolo,45.465801,9.193307
Audace Palestre Repubblica,Via Giuseppe Parini,45.477693,9.195047
Virgin Active Collection Vittorio Emanuele,Largo Corsia dei Servi,45.465277,9.196064
