Esercizi,Principiante1,Principiante2,Intermedio1,Intermedio2,Avanzato1,Avanzato2
Bicipiti,Barbell Curl,Dumbbell Curl,Concetration Curl,Preacher Curl,Twisting Curl,Reverse Curl
Petto,Dumbbell Bench Press,Push Up,Dips,Walkover Pushup,Incline Barbell Bench Press ,Barbell Bench Press
Quadricipiti,Step Up,Bulgarian Split Squat,Leg Press,Leg Extension,Split Squat,Standing Leg Extension
Trapezio,Shrug,Elevated Pike Shoulder Shrug,Incline Shrug,Elevated Pike Press,Upright Row,Barbell Silverback Shrug
Tricipiti,Cable Push Downs,Bench Dips,Tate Press,Laying Triceps Extensions,Cross Pushdown,Skullcrusher
Spalle,Side Lateral Raises,Rear Delt Row,Face Pulls,Rear Delt Fly,Barbell Overhead Press,Upright Row
Dorsali,Neutral Grip Pulldown,Inverted Row,Pull Ups,Pull - In,Pullover,Lat Prayer
Bicipite Femorale,Hamstring Curl,Deadlift,Stiff Leg Deadlifts,Kettlebell Swings,Nordic Hamstring Curl,Single Leg Deadlift
Glutei,Squat,Hip Thrust,Barbell Curtsy Lunge,Romanian Deadlift,Barbell Hip Thrust,Split Squat
Avambraccio,Wrist Curl,Hammer Curl,Behind The Back Barbell Wrist Curl,Reverse Curl,Wrist Extension,Chin-Ups
Polpaccio,Calf Raise,Seated Calf Raise,Barbell Calf Raise,Single Leg Calf Raise,,
Addominali,Crunches,Situp,Leg Raises,Wood Chopper,Standing Crunch,Russian Twist
Zona Lombare,Supermans,Goblet Squat,Kettlebell Swings,45° Back Extension,Deadlift,Single Leg Deadlift
Trapezio (centro-spalle),Silverback Shrug,Seated Cable Row,Dumbbell Row,Kettlebell Silverback Shrug,Deadlift,Inverted Row
